진진,67,175
철욱,90,157
채경,91,165
섭철,84,196
섭철,87,177
채민,64,196
은상,81,168
은민,80,166
은은,41,177
수섭,58,162
은수,58,176
민섭,49,187
수상,98,166
진은,96,194
욱욱,98,163
욱상,82,165
섭채,49,193
욱채,78,168
상건,61,175
수진,97,157
채수,67,170
섭건,81,184
은채,74,157
진건,70,166
진수,81,154
민수,63,164
채욱,40,166
섭상,74,154
욱욱,67,163
수수,64,166
진수,73,171
철은,53,175
민상,71,189
건수,54,194
섭수,87,177
상욱,45,173
채철,56,156
건건,55,168
섭섭,48,167
채수,92,152
상진,66,158
진수,96,172
섭경,61,157
진수,90,159
수수,80,183
철철,68,155
경섭,69,198
수욱,43,171
욱은,78,167
민진,82,158
은민,56,197
민철,95,193
상섭,88,192
경상,60,174
은은,60,150
채수,89,182
은섭,61,190
수은,66,173
수은,89,172
은철,98,151
건철,86,172
건건,82,151
상철,45,156
진은,66,197
철민,45,185
진상,71,169
진상,97,166
상진,81,169
은상,84,176
상상,68,165
은철,73,187
진욱,97,151
수건,81,150
건진,78,166
욱욱,85,157
채상,62,151
채섭,43,186
민진,89,161
상욱,71,156
경건,63,161
철민,56,183
수진,61,154
상상,42,192
상채,43,167
채경,83,153
상섭,74,171
수수,62,159
민건,62,167
섭수,44,151
채철,50,164
철은,72,154
상상,77,155
민건,45,173
진민,61,170
진철,83,197
민섭,84,163
민진,55,187
민경,78,177
섭철,98,197
욱은,48,187
상민,99,182
욱섭,72,170
수철,71,156
철섭,90,150
은채,81,171
채은,50,154
채은,99,178
수건,44,196
진욱,47,154
섭진,84,181
욱은,97,168
민상,90,174
상은,90,181
섭건,98,197
상진,42,159
경민,41,170
섭수,81,191
은상,72,181
은철,98,193
진민,67,192
섭섭,79,170
은철,89,174
수진,46,165
민진,97,198
진건,94,198
민수,62,184
수섭,96,192
수상,48,164
건건,52,188
민수,69,178
섭진,44,155
상진,52,158
철채,94,171
민욱,44,182
진욱,58,188
채섭,55,194
상진,79,151
수섭,47,190
수수,98,188
민수,55,174
철상,52,153
수상,44,195
